seed,cell,rel_change_abs,contrib_mape,abs_contrib_mape,seed_pearson_r
42,ISU-ILCC_G14C4.pkl,0.2485207100591716,0.003014165980226145,0.003014165980226145,0.94341
42,ISU-ILCC_G13C1.pkl,0.1952662721893491,0.002081287667939927,0.002081287667939927,0.94341
42,ISU-ILCC_G2C4.pkl,0.1367604267701261,0.0019403134637391993,0.0019403134637391993,0.94341
42,ISU-ILCC_G12C2.pkl,0.04904306220095694,0.000971687058465222,0.000971687058465222,0.94341
42,ISU-ILCC_G56C4.pkl,0.08602150537634409,-0.0006778482285737577,0.0006778482285737577,0.94341
42,ISU-ILCC_G8C3.pkl,0.10493046776232617,-0.0006809849997366426,0.0006809849997366426,0.94341
42,ISU-ILCC_G51C3.pkl,0.06803594351732992,0.00038259447426947904,0.00038259447426947904,0.94341
42,ISU-ILCC_G48C3.pkl,0.06487148102815178,0.00031147447904968805,0.00031147447904968805,0.94341
42,ISU-ILCC_G14C2.pkl,0.06315789473684211,0.0004758094627107729,0.0004758094627107729,0.94341
42,ISU-ILCC_G61C4.pkl,0.05412371134020619,0.00023775994195049426,0.00023775994195049426,0.94341
42,ISU-ILCC_G3C1.pkl,0.03724604966139955,0.00018863959040505695,0.00018863959040505695,0.94341
42,ISU-ILCC_G63C4.pkl,0.023728813559322035,-0.00014256046128138323,0.00014256046128138323,0.94341
42,ISU-ILCC_G33C2.pkl,0.015333333333333332,-0.00013127402080624986,0.00013127402080624986,0.94341
42,ISU-ILCC_G55C3.pkl,0.025745257452574527,-0.00019620882644469034,0.00019620882644469034,0.94341
42,ISU-ILCC_G8C1.pkl,0.008928571428571428,-6.808066220840688e-05,6.808066220840688e-05,0.94341
42,ISU-ILCC_G41C2.pkl,0.014965986394557823,-0.0001033256509911342,0.0001033256509911342,0.94341
42,ISU-ILCC_G59C4.pkl,0.006369426751592357,-5.4568728426760056e-05,5.4568728426760056e-05,0.94341
42,ISU-ILCC_G60C3.pkl,0.01715686274509804,-6.432581308609049e-05,6.432581308609049e-05,0.94341
42,ISU-ILCC_G56C1.pkl,0.007383100902378999,-4.252735406994751e-05,4.252735406994751e-05,0.94341
42,ISU-ILCC_G3C4.pkl,0.005628517823639775,4.3661308040682345e-05,4.3661308040682345e-05,0.94341
42,ISU-ILCC_G2C3.pkl,0.003134796238244514,4.0191461922967076e-05,4.0191461922967076e-05,0.94341
42,ISU-ILCC_G2C2.pkl,0.0026917900403768506,3.854029376955908e-05,3.854029376955908e-05,0.94341
42,ISU-ILCC_G58C4.pkl,0.04836065573770492,-0.00019557270816709506,0.00019557270816709506,0.94341
42,ISU-ILCC_G54C3.pkl,0.015770840038622464,3.527935151603103e-05,3.527935151603103e-05,0.94341
42,ISU-ILCC_G41C1.pkl,0.06484149855907781,4.071372581497413e-05,4.071372581497413e-05,0.94341
42,ISU-ILCC_G33C3.pkl,0.003779289493575208,-2.6046002955965833e-05,2.6046002955965833e-05,0.94341
42,ISU-ILCC_G54C4.pkl,0.002329450915141431,-1.5907775427222557e-05,1.5907775427222557e-05,0.94341
2021,ISU-ILCC_G14C4.pkl,0.2485207100591716,0.0028838894635262566,0.0028838894635262566,0.954982
2021,ISU-ILCC_G13C1.pkl,0.1952662721893491,0.002101763034411033,0.002101763034411033,0.954982
2021,ISU-ILCC_G2C4.pkl,0.1367604267701261,0.0016567835373702416,0.0016567835373702416,0.954982
2021,ISU-ILCC_G12C2.pkl,0.04904306220095694,0.0008493654075620606,0.0008493654075620606,0.954982
2021,ISU-ILCC_G56C4.pkl,0.08602150537634409,-0.000601132305604935,0.000601132305604935,0.954982
2021,ISU-ILCC_G8C3.pkl,0.10493046776232617,-0.00046460214288461223,0.00046460214288461223,0.954982
2021,ISU-ILCC_G51C3.pkl,0.06803594351732992,0.0003384015601081096,0.0003384015601081096,0.954982
2021,ISU-ILCC_G48C3.pkl,0.06487148102815178,0.00028158343874619646,0.00028158343874619646,0.954982
2021,ISU-ILCC_G14C2.pkl,0.06315789473684211,0.00046380009575048046,0.00046380009575048046,0.954982
2021,ISU-ILCC_G61C4.pkl,0.05412371134020619,0.00023197020688224228,0.00023197020688224228,0.954982
2021,ISU-ILCC_G3C1.pkl,0.03724604966139955,0.00020225503004322998,0.00020225503004322998,0.954982
2021,ISU-ILCC_G63C4.pkl,0.023728813559322035,-0.00016360472815633942,0.00016360472815633942,0.954982
2021,ISU-ILCC_G33C2.pkl,0.015333333333333332,-0.00011383466443904288,0.00011383466443904288,0.954982
2021,ISU-ILCC_G55C3.pkl,0.025745257452574527,-0.0001997535137493183,0.0001997535137493183,0.954982
2021,ISU-ILCC_G8C1.pkl,0.008928571428571428,-8.081173902817802e-05,8.081173902817802e-05,0.954982
2021,ISU-ILCC_G41C2.pkl,0.014965986394557823,0.00011440706345373056,0.00011440706345373056,0.954982
2021,ISU-ILCC_G59C4.pkl,0.006369426751592357,-5.5551299598907895e-05,5.5551299598907895e-05,0.954982
2021,ISU-ILCC_G60C3.pkl,0.01715686274509804,0.0001431019846299861,0.0001431019846299861,0.954982
2021,ISU-ILCC_G56C1.pkl,0.007383100902378999,-4.0334013809455367e-05,4.0334013809455367e-05,0.954982
2021,ISU-ILCC_G3C4.pkl,0.005628517823639775,3.000255218242112e-05,3.000255218242112e-05,0.954982
2021,ISU-ILCC_G2C3.pkl,0.003134796238244514,3.1646771821928053e-05,3.1646771821928053e-05,0.954982
2021,ISU-ILCC_G2C2.pkl,0.0026917900403768506,3.0301278240121457e-05,3.0301278240121457e-05,0.954982
2021,ISU-ILCC_G58C4.pkl,0.04836065573770492,-0.0003310278502809645,0.0003310278502809645,0.954982
2021,ISU-ILCC_G54C3.pkl,0.015770840038622464,-9.022093324165516e-05,9.022093324165516e-05,0.954982
2021,ISU-ILCC_G41C1.pkl,0.06484149855907781,-0.0004899609403351105,0.0004899609403351105,0.954982
2021,ISU-ILCC_G33C3.pkl,0.003779289493575208,2.50494854328976e-05,2.50494854328976e-05,0.954982
2021,ISU-ILCC_G54C4.pkl,0.002329450915141431,-1.2527401760088565e-05,1.2527401760088565e-05,0.954982
2024,ISU-ILCC_G14C4.pkl,0.2485207100591716,0.0025188503331015364,0.0025188503331015364,0.950599
2024,ISU-ILCC_G13C1.pkl,0.1952662721893491,0.0019648030467287318,0.0019648030467287318,0.950599
2024,ISU-ILCC_G2C4.pkl,0.1367604267701261,0.0016655837234710003,0.0016655837234710003,0.950599
2024,ISU-ILCC_G12C2.pkl,0.04904306220095694,0.000887909084437106,0.000887909084437106,0.950599
2024,ISU-ILCC_G56C4.pkl,0.08602150537634409,-0.0005969883855363774,0.0005969883855363774,0.950599
2024,ISU-ILCC_G8C3.pkl,0.10493046776232617,-0.0007013676197505396,0.0007013676197505396,0.950599
2024,ISU-ILCC_G51C3.pkl,0.06803594351732992,0.00042858867042969964,0.00042858867042969964,0.950599
2024,ISU-ILCC_G48C3.pkl,0.06487148102815178,0.0003713653464353866,0.0003713653464353866,0.950599
2024,ISU-ILCC_G14C2.pkl,0.06315789473684211,5.896781037725344e-05,5.896781037725344e-05,0.950599
2024,ISU-ILCC_G61C4.pkl,0.05412371134020619,0.00027455191909958913,0.00027455191909958913,0.950599
